study_id,citation_short,on_website,file
a5dcc5dc6991a975a_s1,Kwak & Huettel (2016),YES,Kwak_Huettel_2016__a5dcc5dc6991a975a_s1.md
a768d7510f53e8a45_s1,Kwak et al. (2014),YES,Kwak_et_al_2014__a768d7510f53e8a45_s1.md
acb32d7c8936fcfe9_s1,Lamba et al. (2020),YES,Lamba_et_al_2020__acb32d7c8936fcfe9_s1.md
aaf1f44b770d3f388_s1,Lau (2019),NO,Lau_2019__aaf1f44b770d3f388_s1.md
aaf1f44b770d3f388_s2,Lau (2019),NO,Lau_2019__aaf1f44b770d3f388_s2.md
aaf1f44b770d3f388_s3,Lau (2019),NO,Lau_2019__aaf1f44b770d3f388_s3.md
a2fa292c96e609b5d_s1,Lau et al. (2020),YES,Lau_et_al_2020__a2fa292c96e609b5d_s1.md
ace1dd58f58cdda90_s1,Lau et al. (2024),YES,Lau_et_al_2024__ace1dd58f58cdda90_s1.md
a8f41c34a8a0f226f_s1,Lengersdorff et al. (2020),YES,Lengersdorff_et_al_2020__a8f41c34a8a0f226f_s1.md
af2dc2132f93e9b22_s1,Lengersdorff et al. (2020),YES,Lengersdorff_et_al_2020__af2dc2132f93e9b22_s1.md
ac114abb9dde87831_s1,Leong & Zaki (2017),YES,Leong_Zaki_2017__ac114abb9dde87831_s1.md
ac114abb9dde87831_s2,Leong & Zaki (2017),YES,Leong_Zaki_2017__ac114abb9dde87831_s2.md
ac114abb9dde87831_s3,Leong & Zaki (2017),YES,Leong_Zaki_2017__ac114abb9dde87831_s3.md
a18b63d00c750fecf_s1,Levorsen et al. (2021),YES,Levorsen_et_al_2021__a18b63d00c750fecf_s1.md
a9df2b53b9da59315_s1,Li et al. (2021),YES,Li_et_al_2021__a9df2b53b9da59315_s1.md
a224dcce611192bff_s1,Li et al. (2023),YES,Li_et_al_2023__a224dcce611192bff_s1.md
a224dcce611192bff_s2,Li et al. (2023),YES,Li_et_al_2023__a224dcce611192bff_s2.md
a224dcce611192bff_s3,Li et al. (2023),YES,Li_et_al_2023__a224dcce611192bff_s3.md
a224dcce611192bff_s4,Li et al. (2023),YES,Li_et_al_2023__a224dcce611192bff_s4.md
ac804d19bfcd535f0_s1,Li et al. (2024),YES,Li_et_al_2024__ac804d19bfcd535f0_s1.md
ac804d19bfcd535f0_s2,Li et al. (2024),YES,Li_et_al_2024__ac804d19bfcd535f0_s2.md
ac804d19bfcd535f0_s3,Li et al. (2024),YES,Li_et_al_2024__ac804d19bfcd535f0_s3.md
aa2d45c0840bbbf7d_s1,Liao et al. (2021),YES,Liao_et_al_2021__aa2d45c0840bbbf7d_s1.md
aa6091f9cc6c693f0_s1,Lin et al. (2012),YES,Lin_et_al_2012__aa6091f9cc6c693f0_s1.md
ad3e6a3d753e0ec06_s1,Lindstrom & Olsson (2015),YES,Lindstrom_Olsson_2015__ad3e6a3d753e0ec06_s1.md
a6a9f8812b97f5a58_s1,Lindstrom et al. (2015),YES,Lindstrom_et_al_2015__a6a9f8812b97f5a58_s1.md
ac42c30ad279615ee_s1,Lindstrom et al. (2021),YES,Lindstrom_et_al_2021__ac42c30ad279615ee_s1.md
a8269fcbdd859d7b8_s1,Lindström & Tobler (2018),YES,Lindstr_m_Tobler_2018__a8269fcbdd859d7b8_s1.md
a82c908cc2a2d6222_s1,Lindström et al. (2019),YES,Lindstr_m_et_al_2019__a82c908cc2a2d6222_s1.md
a82c908cc2a2d6222_s2,Lindström et al. (2019),YES,Lindstr_m_et_al_2019__a82c908cc2a2d6222_s2.md
a82c908cc2a2d6222_s3,Lindström et al. (2019),YES,Lindstr_m_et_al_2019__a82c908cc2a2d6222_s3.md
ac08dd66a77134815_s1,Liu (2024),YES,Liu_2024__ac08dd66a77134815_s1.md
ac08dd66a77134815_s2,Liu (2024),YES,Liu_2024__ac08dd66a77134815_s2.md
a5eef886e2c800a4d_s1,Lockwood et al. (2016),YES,Lockwood_et_al_2016__a5eef886e2c800a4d_s1.md
aa1e8872d83056b92_s1,Lockwood et al. (2016),YES,Lockwood_et_al_2016__aa1e8872d83056b92_s1.md
afce5b549fc322d8b_s1,Lockwood et al. (2018),YES,Lockwood_et_al_2018__afce5b549fc322d8b_s1.md
a27efb8686dd0915f_s1,Lockwood et al. (2019),YES,Lockwood_et_al_2019__a27efb8686dd0915f_s1.md
af1312d6aa6d6f781_s1,Lockwood et al. (2019),YES,Lockwood_et_al_2019__af1312d6aa6d6f781_s1.md
a3820794865baaf9c_s1,Lockwood et al. (2020),YES,Lockwood_et_al_2020__a3820794865baaf9c_s1.md
aad116851b47281bd_s1,Lockwood et al. (2020),YES,Lockwood_et_al_2020__aad116851b47281bd_s1.md
a5a61bfd3d0b2ae26_s1,Low et al. (2022),YES,Low_et_al_2022__a5a61bfd3d0b2ae26_s1.md
a098ba4b86e8ffd67_s1,Luo et al. (2025),YES,Luo_et_al_2025__a098ba4b86e8ffd67_s1.md
ab9cc4e653811594c_s1,Ma et al. (2020),YES,Ma_et_al_2020__ab9cc4e653811594c_s1.md
ad853afe5ab730771_s1,Mahmoodi et al. (2024),YES,Mahmoodi_et_al_2024__ad853afe5ab730771_s1.md
aff9a4147d1697d89_s1,Maier (n.d.),NO,Maier_n_d__aff9a4147d1697d89_s1.md
ab7787bb0688efa95_s1,Maier et al.,YES,Maier_et_al__ab7787bb0688efa95_s1.md
ae00c17dc7e148cca_s1,Marienhagen et al. (2025),YES,Marienhagen_et_al_2025__ae00c17dc7e148cca_s1.md
ae1da3ab45c809053_s1,Martinez-Saito et al. (2019),YES,Martinez_Saito_et_al_2019__ae1da3ab45c809053_s1.md
a064d64d158284c23_s1,Martins et al. (2022),YES,Martins_et_al_2022__a064d64d158284c23_s1.md
a066703107fbc2fe0_s1,McElreath et al. (2005),YES,McElreath_et_al_2005__a066703107fbc2fe0_s1.md
a5827b540b620ffdf_s1,Meffert et al. (2015),YES,Meffert_et_al_2015__a5827b540b620ffdf_s1.md
afa409a62ca362e0f_s1,Mennella et al. (2022),YES,Mennella_et_al_2022__afa409a62ca362e0f_s1.md
a8f29ea7bd21570f4_s1,Mistry & Liljeholm (2019),YES,Mistry_Liljeholm_2019__a8f29ea7bd21570f4_s1.md
a8f29ea7bd21570f4_s2,Mistry & Liljeholm (2019),YES,Mistry_Liljeholm_2019__a8f29ea7bd21570f4_s2.md
a14d9513d093ee897_s1,Molins et al. (2025),YES,Molins_et_al_2025__a14d9513d093ee897_s1.md
a1c82b2a601b93eeb_s1,Moore (2015),YES,Moore_2015__a1c82b2a601b93eeb_s1.md
a382d4a752f452cfa_s1,Moreira (2022),YES,Moreira_2022__a382d4a752f452cfa_s1.md
af7418c99b2e431f9_s1,Morishita et al. (2025),YES,Morishita_et_al_2025__af7418c99b2e431f9_s1.md
a1a7bf1b4dc8e94bb_s1,Moutoussis et al. (2016),YES,Moutoussis_et_al_2016__a1a7bf1b4dc8e94bb_s1.md
ade9c058c35e6948e_s1,Moutoussis et al. (2024),YES,Moutoussis_et_al_2024__ade9c058c35e6948e_s1.md
a3eee84fe04f1d7f6_s1,Muller-Pinzler et al. (2019),YES,Muller_Pinzler_et_al_2019__a3eee84fe04f1d7f6_s1.md
aa9af9e1a3bf50f6f_s1,Müller-Pinzler et al. (2022),YES,M_ller_Pinzler_et_al_2022__aa9af9e1a3bf50f6f_s1.md
aaf6f20a11cf3f1a3_s1,Müller-Pinzler et al. (2022),YES,M_ller_Pinzler_et_al_2022__aaf6f20a11cf3f1a3_s1.md
a3ab5b69538196322_s1,Na (2021),NO,Na_2021__a3ab5b69538196322_s1.md
a3ab5b69538196322_s2,Na (2021),NO,Na_2021__a3ab5b69538196322_s2.md
a2188d678b95a3af7_s1,Na et al. (2021),YES,Na_et_al_2021__a2188d678b95a3af7_s1.md
a753ce0a16a71460a_s1,Naito et al. (2022),YES,Naito_et_al_2022__a753ce0a16a71460a_s1.md
ab75b85a308524e49_s1,Najar et al. (2019),YES,Najar_et_al_2019__ab75b85a308524e49_s1.md
a9c7e220f549232d0_s1,Najar et al. (2020),YES,Najar_et_al_2020__a9c7e220f549232d0_s1.md
a35d4c61245866a1e_s1,Namba et al. (2024),YES,Namba_et_al_2024__a35d4c61245866a1e_s1.md
af0d22b397299194d_s1,Navidi (2023),NO,Navidi_2023__af0d22b397299194d_s1.md
ac6e0c476e6fbdeea_s1,Navidi et al. (2023),YES,Navidi_et_al_2023__ac6e0c476e6fbdeea_s1.md
a95ecd2364102e984_s1,Nong et al. (2024),YES,Nong_et_al_2024__a95ecd2364102e984_s1.md
aca22588e77b2199f_s1,Nye (2014),YES,Nye_2014__aca22588e77b2199f_s1.md
ac6e6ff32b9164bef_s1,Oguchi et al. (2023),YES,Oguchi_et_al_2023__ac6e6ff32b9164bef_s1.md
ac75a46c48f334d60_s1,Oguchi et al. (2023),YES,Oguchi_et_al_2023__ac75a46c48f334d60_s1.md
a3cd58a7f769db5a7_s1,Ohnishi & Manchanda (2016),YES,Ohnishi_Manchanda_2016__a3cd58a7f769db5a7_s1.md
a0cdadbb47a85fb46_s1,Oktar et al. (2024),YES,Oktar_et_al_2024__a0cdadbb47a85fb46_s1.md
af3d5bb6cd8d9479a_s1,Ota et al. (2026),YES,Ota_et_al_2026__af3d5bb6cd8d9479a_s1.md
aed0f68157a5879e1_s1,Pan et al. (2022),YES,Pan_et_al_2022__aed0f68157a5879e1_s1.md
ad9c35b8c64437b99_s1,Pan et al. (2023),YES,Pan_et_al_2023__ad9c35b8c64437b99_s1.md
ac6f972a000227fcc_s1,Panizza (2020),YES,Panizza_2020__ac6f972a000227fcc_s1.md
ac6f972a000227fcc_s2,Panizza (2020),YES,Panizza_2020__ac6f972a000227fcc_s2.md
ac6f972a000227fcc_s3,Panizza (2020),YES,Panizza_2020__ac6f972a000227fcc_s3.md
a6b5c1c0696212ab4_s1,Panizza et al. (2021),YES,Panizza_et_al_2021__a6b5c1c0696212ab4_s1.md
aca833a84ad094374_s1,Panizza et al. (2021),YES,Panizza_et_al_2021__aca833a84ad094374_s1.md
ac3893746e8a09725_s1,Patil et al. (2020),YES,Patil_et_al_2020__ac3893746e8a09725_s1.md
a0241e9efa127ca2c_s1,Peng et al. (2024),YES,Peng_et_al_2024__a0241e9efa127ca2c_s1.md
a87df681de092cd6d_s1,Pinho et al. (2024),YES,Pinho_et_al_2024__a87df681de092cd6d_s1.md
a87df681de092cd6d_s2,Pinho et al. (2024),YES,Pinho_et_al_2024__a87df681de092cd6d_s2.md
a87df681de092cd6d_s3,Pinho et al. (2024),YES,Pinho_et_al_2024__a87df681de092cd6d_s3.md
a1b888b8698de3495_s1,Pisauro et al. (2022),YES,Pisauro_et_al_2022__a1b888b8698de3495_s1.md
a935c9d6fc7644f65_s1,Pisauro et al. (2022),YES,Pisauro_et_al_2022__a935c9d6fc7644f65_s1.md
a0ce362f529aa5f00_s1,Pärnamets & Olsson (2020),YES,P_rnamets_Olsson_2020__a0ce362f529aa5f00_s1.md
ac0d19c94aa17f8df_s1,Radell et al. (2016),YES,Radell_et_al_2016__ac0d19c94aa17f8df_s1.md
af018a421470a9ad4_s1,Radenbach et al. (2015),YES,Radenbach_et_al_2015__af018a421470a9ad4_s1.md
a23346253c62b30ea_s1,Realpe-Gomez et al. (2018),YES,Realpe_Gomez_et_al_2018__a23346253c62b30ea_s1.md
a2c08d3018fe4637d_s1,Realpe-Gomez et al. (2018),YES,Realpe_Gomez_et_al_2018__a2c08d3018fe4637d_s1.md
a0d3ac52f7335afbc_s1,Reiter et al. (2019),YES,Reiter_et_al_2019__a0d3ac52f7335afbc_s1.md
a7a46fe1cb9c1429d_s1,Reiter et al. (2021),YES,Reiter_et_al_2021__a7a46fe1cb9c1429d_s1.md
aeaf67e5f3994f403_s1,Reiter et al. (2021),YES,Reiter_et_al_2021__aeaf67e5f3994f403_s1.md
affc7fc8a336dfed4_s1,Reiter et al. (2023),YES,Reiter_et_al_2023__affc7fc8a336dfed4_s1.md
ac99aa56310d34352_s1,Rhoads (2022),NO,Rhoads_2022__ac99aa56310d34352_s1.md
a119de5d9eabacce5_s1,Rhoads et al. (2025),YES,Rhoads_et_al_2025__a119de5d9eabacce5_s1.md
a635c02bbe34f52fb_s1,Rosenblau et al. (2018),YES,Rosenblau_et_al_2018__a635c02bbe34f52fb_s1.md
a8cdfbc3ac27cf4e3_s1,Rosenblau et al. (2021),YES,Rosenblau_et_al_2021__a8cdfbc3ac27cf4e3_s1.md
af233726c38e0f373_s1,Rosenthal et al. (2019),YES,Rosenthal_et_al_2019__af233726c38e0f373_s1.md
a0af831aedaa9655c_s1,Rosler et al. (2025),YES,Rosler_et_al_2025__a0af831aedaa9655c_s1.md
a0af831aedaa9655c_s2,Rosler et al. (2025),YES,Rosler_et_al_2025__a0af831aedaa9655c_s2.md
a9762e050e082aeee_s1,Rossi-Goldthorpe et al. (2021),YES,Rossi_Goldthorpe_et_al_2021__a9762e050e082aeee_s1.md
aa28098964fa29f4a_s1,Rybicki (2022),NO,Rybicki_2022__aa28098964fa29f4a_s1.md
aa28098964fa29f4a_s2,Rybicki (2022),NO,Rybicki_2022__aa28098964fa29f4a_s2.md
a9cae99108b54e23f_s1,Safra et al. (2018),YES,Safra_et_al_2018__a9cae99108b54e23f_s1.md
a9f10240140953810_s1,Safra et al. (2018),YES,Safra_et_al_2018__a9f10240140953810_s1.md
af5870f714142a70a_s1,Safra et al. (2019),YES,Safra_et_al_2019__af5870f714142a70a_s1.md
a461a7be9cf637fef_s1,Saulin (2022),NO,Saulin_2022__a461a7be9cf637fef_s1.md
a461a7be9cf637fef_s2,Saulin (2022),NO,Saulin_2022__a461a7be9cf637fef_s2.md
a461a7be9cf637fef_s3,Saulin (2022),NO,Saulin_2022__a461a7be9cf637fef_s3.md
a461a7be9cf637fef_s4,Saulin (2022),NO,Saulin_2022__a461a7be9cf637fef_s4.md
a8f7679fe2ca5768f_s1,Saulin (2022),NO,Saulin_2022__a8f7679fe2ca5768f_s1.md
a8f7679fe2ca5768f_s2,Saulin (2022),NO,Saulin_2022__a8f7679fe2ca5768f_s2.md
a8f7679fe2ca5768f_s3,Saulin (2022),NO,Saulin_2022__a8f7679fe2ca5768f_s3.md
ab0cb8b2ffd8b28e9_s1,Saulin et al. (2024),YES,Saulin_et_al_2024__ab0cb8b2ffd8b28e9_s1.md
ab0cb8b2ffd8b28e9_s2,Saulin et al. (2024),YES,Saulin_et_al_2024__ab0cb8b2ffd8b28e9_s2.md
afacb782a99839f93_s1,Schie et al. (2023),YES,Schie_et_al_2023__afacb782a99839f93_s1.md
a161e0ddcef2f9a88_s1,Schmid & Braun (2025),YES,Schmid_Braun_2025__a161e0ddcef2f9a88_s1.md
acc0853d58c451c9c_s1,Schreiber (2023),YES,Schreiber_2023__acc0853d58c451c9c_s1.md
a9586876f56b22b88_s1,Schröder et al. (2025),YES,Schr_der_et_al_2025__a9586876f56b22b88_s1.md
a77cf800f1d2cd07a_s1,Schultner et al. (2024),YES,Schultner_et_al_2024__a77cf800f1d2cd07a_s1.md
a89810dc3e613b00c_s1,Schultner et al. (2024),YES,Schultner_et_al_2024__a89810dc3e613b00c_s1.md
a89810dc3e613b00c_s2,Schultner et al. (2024),YES,Schultner_et_al_2024__a89810dc3e613b00c_s2.md
a89810dc3e613b00c_s3,Schultner et al. (2024),YES,Schultner_et_al_2024__a89810dc3e613b00c_s3.md
a89810dc3e613b00c_s4,Schultner et al. (2024),YES,Schultner_et_al_2024__a89810dc3e613b00c_s4.md
a89810dc3e613b00c_s5,Schultner et al. (2024),YES,Schultner_et_al_2024__a89810dc3e613b00c_s5.md
a89810dc3e613b00c_s6,Schultner et al. (2024),YES,Schultner_et_al_2024__a89810dc3e613b00c_s6.md
a2f1bdf3bb71d19ad_s1,Schultner et al. (2025),YES,Schultner_et_al_2025__a2f1bdf3bb71d19ad_s1.md
a810046b519d4623e_s1,Schulz et al. (2025),YES,Schulz_et_al_2025__a810046b519d4623e_s1.md
a6de40ea666d052f4_s1,Schulze et al. (2015),YES,Schulze_et_al_2015__a6de40ea666d052f4_s1.md
a6de40ea666d052f4_s2,Schulze et al. (2015),YES,Schulze_et_al_2015__a6de40ea666d052f4_s2.md
ae1b2a9ecf9194340_s1,Seaman et al. (2023),YES,Seaman_et_al_2023__ae1b2a9ecf9194340_s1.md
af2ad2f27c098206e_s1,Seid-Fatemi & Tobler (2015),YES,Seid_Fatemi_Tobler_2015__af2ad2f27c098206e_s1.md
aaf5da550579ef6f7_s1,Selbing et al. (2014),YES,Selbing_et_al_2014__aaf5da550579ef6f7_s1.md
a5c364d5139293d80_s1,Sevgi et al. (2020),YES,Sevgi_et_al_2020__a5c364d5139293d80_s1.md
a2effa7d6a769e079_s1,Shafto & Goodman (2008),YES,Shafto_Goodman_2008__a2effa7d6a769e079_s1.md
ade766e02a2dd4206_s1,Shafto et al. (2014),YES,Shafto_et_al_2014__ade766e02a2dd4206_s1.md
a095f158fe440440f_s1,Shaw et al. (2018),YES,Shaw_et_al_2018__a095f158fe440440f_s1.md
a4c798581c32b3068_s1,Shin et al. (2019),YES,Shin_et_al_2019__a4c798581c32b3068_s1.md
a8d9fd46a0700f631_s1,Siegel (2019),NO,Siegel_2019__a8d9fd46a0700f631_s1.md
aa975564adbb29669_s1,Siegel et al. (2018),YES,Siegel_et_al_2018__aa975564adbb29669_s1.md
ae7c3b95a8b8f7d2a_s1,Siegel et al. (2019),YES,Siegel_et_al_2019__ae7c3b95a8b8f7d2a_s1.md
a8996ce4e0b44ae3c_s1,Siegel et al. (2020),YES,Siegel_et_al_2020__a8996ce4e0b44ae3c_s1.md
a31d161cea8e5f95a_s1,Slagter et al. (2023),YES,Slagter_et_al_2023__a31d161cea8e5f95a_s1.md
a71bd3ab98fb45944_s1,Son (2023),NO,Son_2023__a71bd3ab98fb45944_s1.md
a04b0629986060d45_s1,Son et al. (2021),YES,Son_et_al_2021__a04b0629986060d45_s1.md
a04b0629986060d45_s2,Son et al. (2021),YES,Son_et_al_2021__a04b0629986060d45_s2.md
a04b0629986060d45_s3,Son et al. (2021),YES,Son_et_al_2021__a04b0629986060d45_s3.md
ad6a9b35452058a43_s1,Son et al. (2023),YES,Son_et_al_2023__ad6a9b35452058a43_s1.md
a8a76a4289879e5d9_s1,Spiering et al. (2025),YES,Spiering_et_al_2025__a8a76a4289879e5d9_s1.md
a0285b6780492e31c_s1,Spiers et al. (2017),YES,Spiers_et_al_2017__a0285b6780492e31c_s1.md
a48b47874f742ff5e_s1,Stanley (2016),YES,Stanley_2016__a48b47874f742ff5e_s1.md
a6546b339f2c30246_s1,Stefanics et al. (2019),YES,Stefanics_et_al_2019__a6546b339f2c30246_s1.md
ac02bfcaa3344eedb_s1,Steixner-Kumar et al. (2022),YES,Steixner_Kumar_et_al_2022__ac02bfcaa3344eedb_s1.md
a51c8ed5a90786abc_s1,Stoddard et al. (2023),YES,Stoddard_et_al_2023__a51c8ed5a90786abc_s1.md
a5025a357ec0cf23b_s1,Story et al. (2024),YES,Story_et_al_2024__a5025a357ec0cf23b_s1.md
ab9bdfac589e098a5_s1,Story et al. (2024),YES,Story_et_al_2024__ab9bdfac589e098a5_s1.md
ad3752120fcff1c97_s1,Su et al. (2025),YES,Su_et_al_2025__ad3752120fcff1c97_s1.md
ad3752120fcff1c97_s2,Su et al. (2025),YES,Su_et_al_2025__ad3752120fcff1c97_s2.md
a0dbe04cafc314aa9_s1,Sul et al. (2015),YES,Sul_et_al_2015__a0dbe04cafc314aa9_s1.md
a30fdbe97c54f68e0_s1,Sul et al. (2015),YES,Sul_et_al_2015__a30fdbe97c54f68e0_s1.md
a045db0b5ed502025_s1,Suthaharan & Corlett (2023),YES,Suthaharan_Corlett_2023__a045db0b5ed502025_s1.md
a84b2ae0f3b82710b_s1,Suzuki et al. (2015),YES,Suzuki_et_al_2015__a84b2ae0f3b82710b_s1.md
a4e38a51c7a61c0bf_s1,Suzuki et al. (2016),YES,Suzuki_et_al_2016__a4e38a51c7a61c0bf_s1.md
a8f9db013045d1900_s1,Tarantola et al. (2017),YES,Tarantola_et_al_2017__a8f9db013045d1900_s1.md
a70bb29710dadbc8a_s1,Tehrani-Safa et al. (2023),YES,Tehrani_Safa_et_al_2023__a70bb29710dadbc8a_s1.md
aa57d04b1f68bf618_s1,Teo et al. (2022),YES,Teo_et_al_2022__aa57d04b1f68bf618_s1.md
a19d005cbfacf5616_s1,Thomas et al. (2022),YES,Thomas_et_al_2022__a19d005cbfacf5616_s1.md
a4d0cf163e6e71f5b_s1,Thompson & Westwater (2017),YES,Thompson_Westwater_2017__a4d0cf163e6e71f5b_s1.md
a31e49169e6cf1741_s1,Tomova et al. (2022),YES,Tomova_et_al_2022__a31e49169e6cf1741_s1.md
aececc2e97bdbec2b_s1,Topel et al. (2024),YES,Topel_et_al_2024__aececc2e97bdbec2b_s1.md
a2c8888de29cb7729_s1,Toyokawa & Gaissmaier (2022),YES,Toyokawa_Gaissmaier_2022__a2c8888de29cb7729_s1.md
a6e7df7b5f83f3b8c_s1,Toyokawa et al. (2018),YES,Toyokawa_et_al_2018__a6e7df7b5f83f3b8c_s1.md
a91b86671d398f473_s1,Traast et al. (2024),YES,Traast_et_al_2024__a91b86671d398f473_s1.md
a91b86671d398f473_s2,Traast et al. (2024),YES,Traast_et_al_2024__a91b86671d398f473_s2.md
a1a5092dd3224df6e_s1,Turner et al. (2025),YES,Turner_et_al_2025__a1a5092dd3224df6e_s1.md
a6b9bc33a9a00f6e5_s1,Unruh-Pinheiro et al. (2020),YES,Unruh_Pinheiro_et_al_2020__a6b9bc33a9a00f6e5_s1.md
a6f1e0378e031c979_s1,Vahedi et al. (2025),YES,Vahedi_et_al_2025__a6f1e0378e031c979_s1.md
ab33ea9da5f1f13b6_s1,Vanyukov et al. (2019),YES,Vanyukov_et_al_2019__ab33ea9da5f1f13b6_s1.md
a29f8f737795fdfad_s1,Velez & Gweon (2019),YES,Velez_Gweon_2019__a29f8f737795fdfad_s1.md
aacdf803808aa7093_s1,Vidal-Perez et al. (2025),YES,Vidal_Perez_et_al_2025__aacdf803808aa7093_s1.md
a95587b4f9d0dd433_s1,Wadhera & Kakkar (2021),YES,Wadhera_Kakkar_2021__a95587b4f9d0dd433_s1.md
a391be02b620399e0_s1,Waite et al. (2024),YES,Waite_et_al_2024__a391be02b620399e0_s1.md
a972fcd80ff0bfd61_s1,Wang et al. (2023),YES,Wang_et_al_2023__a972fcd80ff0bfd61_s1.md
ae3764f1ded3fe415_s1,Wang et al. (2023),YES,Wang_et_al_2023__ae3764f1ded3fe415_s1.md
a2174e45d82a22e2a_s1,Watanabe et al. (2013),YES,Watanabe_et_al_2013__a2174e45d82a22e2a_s1.md
ab89196503af91f3e_s1,Westhoff et al. (2020),YES,Westhoff_et_al_2020__ab89196503af91f3e_s1.md
a89f6aeb837399ffe_s1,Westhoff et al. (2021),YES,Westhoff_et_al_2021__a89f6aeb837399ffe_s1.md
ad11fe61eb364c4c2_s1,Westhoff et al. (2021),YES,Westhoff_et_al_2021__ad11fe61eb364c4c2_s1.md
ab2879a22cc94c9db_s1,Whalen et al. (2018),YES,Whalen_et_al_2018__ab2879a22cc94c9db_s1.md
afafb165757dcce50_s1,Wieland et al. (2023),YES,Wieland_et_al_2023__afafb165757dcce50_s1.md
af767ae2e8dab68a9_s1,Will et al. (2017),YES,Will_et_al_2017__af767ae2e8dab68a9_s1.md
ae1201f6829a1fb8d_s1,Will et al. (2020),YES,Will_et_al_2020__ae1201f6829a1fb8d_s1.md
ac9c48d17a2ad451e_s1,Witt et al. (2023),YES,Witt_et_al_2023__ac9c48d17a2ad451e_s1.md
aaa5af466851f84e7_s1,Wittmann et al. (2016),YES,Wittmann_et_al_2016__aaa5af466851f84e7_s1.md
a26945158028580df_s1,Wittmann et al. (2021),YES,Wittmann_et_al_2021__a26945158028580df_s1.md
a8064150791341f6a_s1,Wittmann et al. (2021),YES,Wittmann_et_al_2021__a8064150791341f6a_s1.md
ab89a28f11fb22ed2_s1,Wu et al. (2023),YES,Wu_et_al_2023__ab89a28f11fb22ed2_s1.md
a8f3eec4be8a10e95_s1,Wu et al. (2024),YES,Wu_et_al_2024__a8f3eec4be8a10e95_s1.md
a96ed8bf28c49c43c_s1,Wu et al. (2024),YES,Wu_et_al_2024__a96ed8bf28c49c43c_s1.md
ad52c397133e84328_s1,Wu et al. (2024),YES,Wu_et_al_2024__ad52c397133e84328_s1.md
ad52c397133e84328_s2,Wu et al. (2024),YES,Wu_et_al_2024__ad52c397133e84328_s2.md
a092feb2d1b67b42c_s1,Wu et al. (2025),YES,Wu_et_al_2025__a092feb2d1b67b42c_s1.md
af8c1761628990bdb_s1,Wu et al. (2025),YES,Wu_et_al_2025__af8c1761628990bdb_s1.md
a3f938d0a85d88449_s1,Wunderlich et al. (2011),YES,Wunderlich_et_al_2011__a3f938d0a85d88449_s1.md
a71954caf3dc912b6_s1,Xiang et al. (2012),YES,Xiang_et_al_2012__a71954caf3dc912b6_s1.md
a8209482cdec5baea_s1,Xu et al. (2023),YES,Xu_et_al_2023__a8209482cdec5baea_s1.md
ad82ebc97cc3bb9e3_s1,Yang et al. (2013),YES,Yang_et_al_2013__ad82ebc97cc3bb9e3_s1.md
ad3f3eebeed3451ab_s1,Yi et al. (2021),YES,Yi_et_al_2021__ad3f3eebeed3451ab_s1.md
ac0f34be605950410_s1,Yifrah (2024),YES,Yifrah_2024__ac0f34be605950410_s1.md
ac0f34be605950410_s2,Yifrah (2024),YES,Yifrah_2024__ac0f34be605950410_s2.md
a68ddc721d9a6e4ec_s1,Yifrah et al. (2021),YES,Yifrah_et_al_2021__a68ddc721d9a6e4ec_s1.md
a2aa67f2e9f38a8a5_s1,Ying et al. (2025),YES,Ying_et_al_2025__a2aa67f2e9f38a8a5_s1.md
a1d626bb04fc5f0ba_s1,Yoon et al. (2018),YES,Yoon_et_al_2018__a1d626bb04fc5f0ba_s1.md
aa29ab1115d964d7c_s1,Yoon et al. (2018),YES,Yoon_et_al_2018__aa29ab1115d964d7c_s1.md
a8b11e1958a9bf87b_s1,Yoshida et al. (2010),YES,Yoshida_et_al_2010__a8b11e1958a9bf87b_s1.md
a1bc018f207c35dac_s1,Yu & Ballard (2007),YES,Yu_Ballard_2007__a1bc018f207c35dac_s1.md
af88ac3b84155572d_s1,Yu et al. (2019),YES,Yu_et_al_2019__af88ac3b84155572d_s1.md
a4386e36047c2a720_s1,Zaki et al. (2016),YES,Zaki_et_al_2016__a4386e36047c2a720_s1.md
a81bf6f05519ac865_s1,Zaragoza-Jimenez et al. (2023),YES,Zaragoza_Jimenez_et_al_2023__a81bf6f05519ac865_s1.md
ad89fe63f862d25cb_s1,Zhang (2018),YES,Zhang_2018__ad89fe63f862d25cb_s1.md
ad89fe63f862d25cb_s2,Zhang (2018),YES,Zhang_2018__ad89fe63f862d25cb_s2.md
aa2845674ac4d1137_s1,Zhang (2020),NO,Zhang_2020__aa2845674ac4d1137_s1.md
aaab6d101a666b350_s1,Zhang (2020),NO,Zhang_2020__aaab6d101a666b350_s1.md
a3c64dbb044e603a3_s1,Zhang et al. (2022),YES,Zhang_et_al_2022__a3c64dbb044e603a3_s1.md
a1e22fa6e997143f8_s1,Zhang et al. (2024),YES,Zhang_et_al_2024__a1e22fa6e997143f8_s1.md
a00e7bc280f881edb_s1,Zhang et al. (2025),YES,Zhang_et_al_2025__a00e7bc280f881edb_s1.md
a00e7bc280f881edb_s2,Zhang et al. (2025),YES,Zhang_et_al_2025__a00e7bc280f881edb_s2.md
af12ee4644ba6ae69_s1,Zhang et al. (2025),YES,Zhang_et_al_2025__af12ee4644ba6ae69_s1.md
a10a4b2c7e36e888a_s1,Zhao et al. (2023),YES,Zhao_et_al_2023__a10a4b2c7e36e888a_s1.md
