study_id,paper_id,citation_short,year,on_website,study_focus_short,row_checked,fields_with_errors,corrections,reviewer_note,reviewer,date_checked,status
a768d7510f53e8a45_s1,a768d7510f53e8a45,Kwak et al. (2014),2014,YES,Prosocial reward learning -- how differential reward learning for self versus,,,,,,,pending
a76db468de82a4657_s1,a76db468de82a4657,Allidina (2023),2023,YES,Social categorization learning -- how environmental feedback structure and,,,,,,,pending
a77cf800f1d2cd07a_s1,a77cf800f1d2cd07a,Schultner et al. (2024),2024,YES,Stereotype-biased social learning,,,,,,,pending
a7a0c89d37037a4ba_s1,a7a0c89d37037a4ba,Khalvati et al. (2016),2016,YES,Cooperation learning / social decision making in volunteer's dilemma,,,,,,,pending
a7a46fe1cb9c1429d_s1,a7a46fe1cb9c1429d,Reiter et al. (2021),2021,YES,Social influence learning,,,,,,,pending
a7bae18ba1c06d93c_s1,a7bae18ba1c06d93c,Diaconescu et al. (2020),2020,YES,Learning from advice,,,,,,,pending
a7cc156a3678a43c8_s1,a7cc156a3678a43c8,Zhou et al. (2025),2025,YES,Ingroup bias learning,,,,,,,pending
a7cc156a3678a43c8_s2,a7cc156a3678a43c8,Zhou et al. (2025),2025,YES,Ingroup bias learning,,,,,,,pending
a8064150791341f6a_s1,a8064150791341f6a,Wittmann et al. (2021),2021,YES,Self-other mergence,,,,,,,pending
a80c37dd74c4998a4_s1,a80c37dd74c4998a4,Aquino (2022),,NO,Observational learning -- investigating whether human amygdala neurons encode,,,,,,,pending
a80de13010a4dd07a_s1,a80de13010a4dd07a,Henco et al. (2020),2020,YES,Social inference learning,,,,,,,pending
a810046b519d4623e_s1,a810046b519d4623e,Schulz et al. (2025),2025,YES,Trust learning / learning about information source trustworthiness,,,,,,,pending
a81bf6f05519ac865_s1,a81bf6f05519ac865,Zaragoza-Jimenez et al. (2023),2023,YES,Face identity learning / perceptual learning of faces,,,,,,,pending
a8209482cdec5baea_s1,a8209482cdec5baea,Xu et al. (2023),2023,YES,Observational learning,,,,,,,pending
a8269fcbdd859d7b8_s1,a8269fcbdd859d7b8,Lindström & Tobler (2018),2018,YES,Cooperation learning · social network learning,,,,,,,pending
a8286f527041f9a9a_s1,a8286f527041f9a9a,Beltzer et al. (2023),2023,YES,Social reinforcement learning in social anxiety,,,,,,,pending
a8298436254387388_s1,a8298436254387388,Christopoulos & King-Casas (2015),2015,YES,Social orientation-dependent reward learning for others,,,,,,,pending
a82c908cc2a2d6222_s1,a82c908cc2a2d6222,Lindström et al. (2019),2019,YES,Threat conditioning transfer to decision making (Pavlovian Instrumental Transfer,,,,,,,pending
a82c908cc2a2d6222_s2,a82c908cc2a2d6222,Lindström et al. (2019),2019,YES,Observational threat learning transfer to decision making,,,,,,,pending
a82c908cc2a2d6222_s3,a82c908cc2a2d6222,Lindström et al. (2019),2019,YES,Instructed threat learning transfer to decision making,,,,,,,pending
a84b2ae0f3b82710b_s1,a84b2ae0f3b82710b,Suzuki et al. (2015),2015,YES,Consensus decision-making / social influence learning,,,,,,,pending
a867322e7b21f303d_s1,a867322e7b21f303d,Cisler et al. (2015),2015,YES,Social reinforcement learning in PTSD,,,,,,,pending
a87df681de092cd6d_s1,a87df681de092cd6d,Pinho et al. (2024),2024,YES,Social media feedback learning,,,,,,,pending
a87df681de092cd6d_s2,a87df681de092cd6d,Pinho et al. (2024),2024,YES,Social media feedback and mood,,,,,,,pending
a87df681de092cd6d_s3,a87df681de092cd6d,Pinho et al. (2024),2024,YES,Neural correlates of social media feedback sensitivity,,,,,,,pending
a894d6f4ea6856b0c_s1,a894d6f4ea6856b0c,Gershman et al. (2017),2017,YES,Social influence learning / social structure learning,,,,,,,pending
a89810dc3e613b00c_s1,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,Observational learning of social group bias / prejudice transmission via value,,,,,,,pending
a89810dc3e613b00c_s2,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,Replication of observational learning of social group bias in online sample,,,,,,,pending
a89810dc3e613b00c_s3,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,Observational learning of group bias from high-prejudice demonstrators,,,,,,,pending
a89810dc3e613b00c_s4,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,Testing biased sampling alternative account -- full vs partial feedback on,,,,,,,pending
a89810dc3e613b00c_s5,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,Testing whether a human demonstrator is necessary for observational bias,,,,,,,pending
a89810dc3e613b00c_s6,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,Effect of perceived demonstrator competence on observational bias transmission,,,,,,,pending
a8996ce4e0b44ae3c_s1,a8996ce4e0b44ae3c,Siegel et al. (2020),2020,YES,Moral inference / moral character learning,,,,,,,pending
a89991d8ca0b50e35_s1,a89991d8ca0b50e35,Jiang et al. (2025),2025,YES,Trust learning · partner selection learning,,,,,,,pending
a89f6aeb837399ffe_s1,a89f6aeb837399ffe,Westhoff et al. (2021),2021,YES,Prosocial learning,,,,,,,pending
a89fcd76a5ec248ed_s1,a89fcd76a5ec248ed,Brazil (2013),2013,YES,Social information use during associative learning,,,,,,,pending
a8a76a4289879e5d9_s1,a8a76a4289879e5d9,Spiering et al. (2025),2025,YES,Social credit assignment / controllability inference in cooperative interactions,,,,,,,pending
a8a8de79a9824ebef_s1,a8a8de79a9824ebef,Chackochan & Sanguineti (2019),2019,YES,Joint action learning / collaboration learning,,,,,,,pending
a8b11e1958a9bf87b_s1,a8b11e1958a9bf87b,Yoshida et al. (2010),2010,YES,Mentalizing learning / Theory of mind,,,,,,,pending
a8bcb614a58101314_s1,a8bcb614a58101314,Ide et al. (2018),2018,YES,Trust learning; social reinforcement learning under oxytocin modulation,,,,,,,pending
a8cdfbc3ac27cf4e3_s1,a8cdfbc3ac27cf4e3,Rosenblau et al. (2021),2021,YES,Learning others' preferences · social inference learning,,,,,,,pending
a8d99523e77ad1011_s1,a8d99523e77ad1011,Gweon et al. (2010),2010,YES,Inductive generalization from samples,,,,,,,pending
a8d9fd46a0700f631_s1,a8d9fd46a0700f631,Siegel (2019),,NO,Moral inference in Borderline Personality Disorder,,,,,,,pending
a8e4cc32c4fb15890_s1,a8e4cc32c4fb15890,Haruno & Kawato (2009),2009,YES,Interactive reinforcement learning,,,,,,,pending
a8ee4d53d01f352c4_s1,a8ee4d53d01f352c4,Hula et al. (2018),2018,YES,Trust learning,,,,,,,pending
a8f29ea7bd21570f4_s1,a8f29ea7bd21570f4,Mistry & Liljeholm (2019),2019,YES,Social conformity learning; value of majority alignment,,,,,,,pending
a8f29ea7bd21570f4_s2,a8f29ea7bd21570f4,Mistry & Liljeholm (2019),2019,YES,Social conformity learning,,,,,,,pending
a8f3eec4be8a10e95_s1,a8f3eec4be8a10e95,Wu et al. (2024),2024,YES,Collective foraging,,,,,,,pending
a8f41c34a8a0f226f_s1,a8f41c34a8a0f226f,Lengersdorff et al. (2020),2020,YES,Prosocial learning / harm avoidance learning (self vs. other),,,,,,,pending
a8f7679fe2ca5768f_s1,a8f7679fe2ca5768f,Saulin (2022),,NO,Empathy learning,,,,,,,pending
a8f7679fe2ca5768f_s2,a8f7679fe2ca5768f,Saulin (2022),,NO,Prosocial learning; sustainability of empathy-driven prosocial decision bias,,,,,,,pending
a8f7679fe2ca5768f_s3,a8f7679fe2ca5768f,Saulin (2022),,NO,Prosocial learning,,,,,,,pending
a8f7679fe2ca5768f_s4,a8f7679fe2ca5768f,Iotzov (2022),,NO,Prosocial learning,,,,,,,pending
a8f9db013045d1900_s1,a8f9db013045d1900,Tarantola et al. (2017),2017,YES,Learning others' food preferences,,,,,,,pending
a9159d74bfbe6e921_s1,a9159d74bfbe6e921,Henco et al. (2020),2020,YES,"Social learning and decision-making across psychiatric disorders (BPD, SCZ",,,,,,,pending
a91b86671d398f473_s1,a91b86671d398f473,Traast et al. (2024),2024,YES,Intergroup impression formation via instrumental learning,,,,,,,pending
a91b86671d398f473_s2,a91b86671d398f473,Traast et al. (2024),2024,YES,Replication and extension of Study 1: race effects on instrumental social,,,,,,,pending
a9314fd573def5ba4_s1,a9314fd573def5ba4,Bellucci & Park (2020),2020,YES,Trust learning / reputation learning -- how honest reputation biases,,,,,,,pending
a935c9d6fc7644f65_s1,a935c9d6fc7644f65,Pisauro et al. (2022),2022,YES,Cooperation learning,,,,,,,pending
a937c70ec9653c074_s1,a937c70ec9653c074,Huang et al. (2026),2026,YES,Prosocial model-based decision-making,,,,,,,pending
a941675f73ddb4a9d_s1,a941675f73ddb4a9d,Cooper et al. (2012),2012,YES,Observational learning,,,,,,,pending
a9463d098431ad6f7_s1,a9463d098431ad6f7,Hopkins (2021),,NO,Social evaluation learning,,,,,,,pending
a9463d098431ad6f7_s2,a9463d098431ad6f7,Hopkins (2021),,NO,Computational phenotyping of anxiety,,,,,,,pending
a950c7c6f86c80e02_s1,a950c7c6f86c80e02,Konovalov et al. (2021),2021,YES,Strategic social learning,,,,,,,pending
a95540e306d318922_s1,a95540e306d318922,Koban et al. (2023),2023,YES,Social approval learning · biased social learning of self-perception in social anxiety disorder,,,,,,,pending
a95587b4f9d0dd433_s1,a95587b4f9d0dd433,Wadhera & Kakkar (2021),2021,YES,Risk perception learning through independent and social observational learning,,,,,,,pending
a9586876f56b22b88_s1,a9586876f56b22b88,Schröder et al. (2025),2025,YES,Self-belief formation and revision,,,,,,,pending
a95eb220fdbe63dcd_s1,a95eb220fdbe63dcd,Bang et al. (2017),2017,YES,Social influence learning / confidence alignment in group decision-making,,,,,,,pending
a95ecd2364102e984_s1,a95ecd2364102e984,Nong et al. (2024),2024,YES,Mentalizing learning / learning to adapt to fluctuating cooperative vs,,,,,,,pending
a95f701fd9e24ed4f_s1,a95f701fd9e24ed4f,Hackel & Zaki (2018),2018,YES,Reciprocity learning,,,,,,,pending
a95f701fd9e24ed4f_s2,a95f701fd9e24ed4f,Hackel & Zaki (2018),2018,YES,Reputation learning,,,,,,,pending
a96ed8bf28c49c43c_s1,a96ed8bf28c49c43c,Wu et al. (2024),2024,YES,Cooperation learning,,,,,,,pending
a972fcd80ff0bfd61_s1,a972fcd80ff0bfd61,Wang et al. (2023),2023,YES,Prosocial learning,,,,,,,pending
a9762e050e082aeee_s1,a9762e050e082aeee,Rossi-Goldthorpe et al. (2021),2021,YES,Self-deception learning,,,,,,,pending
a9848c84183aa4aea_s1,a9848c84183aa4aea,Chen & Krajbich (2017),2017,YES,Epiphany learning,,,,,,,pending
a9954ad15eee76513_s1,a9954ad15eee76513,Khalvati (2021),2021,YES,Cooperation learning,,,,,,,pending
a9954ad15eee76513_s2,a9954ad15eee76513,Khalvati (2021),2021,YES,Cooperation learning,,,,,,,pending
a9954ad15eee76513_s3,a9954ad15eee76513,Khalvati (2021),2021,YES,Collective decision making; conformity; multi-level theory of mind,,,,,,,pending
a9954ad15eee76513_s4,a9954ad15eee76513,Khalvati (2021),2021,YES,Cooperation learning,,,,,,,pending
a9954ad15eee76513_s5,a9954ad15eee76513,Khalvati (2021),2021,YES,Cooperation learning,,,,,,,pending
a99e972647ad3bec8_s1,a99e972647ad3bec8,Connell et al. (2022),2022,YES,Empathic sensitivity / prosocial learning -- quantifying individual differences,,,,,,,pending
a9a3417e0682c84d6_s1,a9a3417e0682c84d6,Hackel et al. (2020),2020,YES,Trait inference learning,,,,,,,pending
a9b473d280d0123c3_s1,a9b473d280d0123c3,Ham & Jenkins (2025),2025,YES,Social inequity learning,,,,,,,pending
a9b473d280d0123c3_s2,a9b473d280d0123c3,Ham & Jenkins (2025),2025,YES,Social inequity learning,,,,,,,pending
a9b473d280d0123c3_s3,a9b473d280d0123c3,Ham & Jenkins (2025),2025,YES,Social inequity learning,,,,,,,pending
a9b9f1c6d36ab97ce_s1,a9b9f1c6d36ab97ce,Hackel et al. (2019),2019,YES,Social attitude formation through instrumental reinforcement learning,,,,,,,pending
a9c7e220f549232d0_s1,a9c7e220f549232d0,Najar et al. (2020),2020,YES,Imitation learning / observational learning in social reinforcement learning,,,,,,,pending
a9cae99108b54e23f_s1,a9cae99108b54e23f,Safra et al. (2018),2018,YES,Social influence on reward learning in depression,,,,,,,pending
a9df2b53b9da59315_s1,a9df2b53b9da59315,Li et al. (2021),2021,YES,Trust learning,,,,,,,pending
a9f10240140953810_s1,a9f10240140953810,Safra et al. (2018),2018,YES,Social influence on reward learning,,,,,,,pending
aa09d738ea4dd18f0_s1,aa09d738ea4dd18f0,Fornari et al. (2023),2023,YES,Harm avoidance / moral conflict learning,,,,,,,pending
aa1cfaa7c0b32b5c0_s1,aa1cfaa7c0b32b5c0,Guo et al. (2024),2024,YES,altruistic punishment; ingroup bias; cross-cultural social norm learning,,,,,,,pending
aa1cfaa7c0b32b5c0_s2,aa1cfaa7c0b32b5c0,Guo et al. (2024),2024,YES,altruistic punishment,,,,,,,pending
aa1e8872d83056b92_s1,aa1e8872d83056b92,Lockwood et al. (2016),2016,YES,Prosocial learning,,,,,,,pending
aa28098964fa29f4a_s1,aa28098964fa29f4a,Rybicki (2022),,NO,Social reward learning in autism,,,,,,,pending
aa28098964fa29f4a_s2,aa28098964fa29f4a,Rybicki (2022),,NO,Neurochemical (genetic) mechanisms of social vs. individual learning,,,,,,,pending
aa2845674ac4d1137_s1,aa2845674ac4d1137,Zhang (2020),,NO,Social influence learning,,,,,,,pending
aa29ab1115d964d7c_s1,aa29ab1115d964d7c,Yoon et al. (2018),2018,YES,Self-protective behavior learning,,,,,,,pending
aa2d45c0840bbbf7d_s1,aa2d45c0840bbbf7d,Liao et al. (2021),2021,YES,Self-oriented reward learning,,,,,,,pending
aa56074d11a12abcd_s1,aa56074d11a12abcd,Gaule et al. (2024),2024,YES,Trust learning and social coordination learning in adolescents with conduct,,,,,,,pending
aa57d04b1f68bf618_s1,aa57d04b1f68bf618,Teo et al. (2022),2022,YES,Observational causal learning from emotional displays,,,,,,,pending
aa6091f9cc6c693f0_s1,aa6091f9cc6c693f0,Lin et al. (2012),2012,YES,Social reward learning,,,,,,,pending
aa65ca8c435e94942_s1,aa65ca8c435e94942,Ereira et al. (2018),2018,YES,Mentalizing learning / self-other distinction during belief updating,,,,,,,pending
aa71946e6c9f86d56_s1,aa71946e6c9f86d56,Efferson et al. (2008),2008,YES,Conformity / frequency-dependent social learning,,,,,,,pending
aa792de35f80feb74_s1,aa792de35f80feb74,Burke et al. (2016),2016,YES,Observational learning,,,,,,,pending
aa7a0276ada8cc7db_s1,aa7a0276ada8cc7db,Cui (2021),,NO,Social competitive behavior in depression,,,,,,,pending
aa7a0276ada8cc7db_s2,aa7a0276ada8cc7db,Cui (2021),,NO,Social competitive behavior in combat-related PTSD,,,,,,,pending
aa7a0276ada8cc7db_s3,aa7a0276ada8cc7db,Cui (2021),,NO,Social learning adaptation to environmental volatility in borderline,,,,,,,pending
aa7d5ff60fbdb2268_s1,aa7d5ff60fbdb2268,Bos et al. (2013),2013,YES,Competition learning / social preference learning in auctions,,,,,,,pending
aa81b9b0bc29c1c9b_s1,aa81b9b0bc29c1c9b,Castanon et al. (2023),2023,YES,Prosocial learning / cooperation learning -- how social expectations (empirical,,,,,,,pending
aa8995e72ac240a9d_s1,aa8995e72ac240a9d,Colombo (2012),2012,YES,Norm learning; social reward effects on learning social norms of tipping,,,,,,,pending
aa975564adbb29669_s1,aa975564adbb29669,Siegel et al. (2018),2018,YES,Moral inference / trait learning -- asymmetric Bayesian updating of beliefs,,,,,,,pending
aa9af9e1a3bf50f6f_s1,aa9af9e1a3bf50f6f,Müller-Pinzler et al. (2022),2022,YES,Self-efficacy belief formation,,,,,,,pending
aa9ddd5acc0c507a5_s1,aa9ddd5acc0c507a5,Carrignon et al. (2020),2020,YES,Social transmission of economic strategies (cultural transmission of trading,,,,,,,pending
aaa5af466851f84e7_s1,aaa5af466851f84e7,Wittmann et al. (2016),2016,YES,Self-other ability estimation,,,,,,,pending
aaab6d101a666b350_s1,aaab6d101a666b350,Zhang (2020),,NO,,,,,,,,pending
aacdf803808aa7093_s1,aacdf803808aa7093,Vidal-Perez et al. (2025),2025,YES,Learning from disinformation,,,,,,,pending
aad116851b47281bd_s1,aad116851b47281bd,Lockwood et al. (2020),2020,YES,Harm avoidance learning,,,,,,,pending
aad2e89eeb949f588_s1,aad2e89eeb949f588,Gadeke et al. (2020),2020,YES,Social responsibility learning -- how responsibility for risky choices,,,,,,,pending
aad2e89eeb949f588_s2,aad2e89eeb949f588,Gadeke et al. (2020),2020,YES,"Same as Study 1 -- social responsibility learning, now with neuroimaging",,,,,,,pending
aaf1f44b770d3f388_s1,aaf1f44b770d3f388,Lau (2019),,NO,Social categorization -- neural correlates of generalized in-group,,,,,,,pending
aaf1f44b770d3f388_s2,aaf1f44b770d3f388,Lau (2019),,NO,Social group inference via latent structure learning -- how people accumulate,,,,,,,pending
aaf1f44b770d3f388_s3,aaf1f44b770d3f388,Lau (2019),,NO,Neural correlates of social group structure learning -- separate brain areas,,,,,,,pending
aaf5da550579ef6f7_s1,aaf5da550579ef6f7,Selbing et al. (2014),2014,YES,Observational avoidance learning -- how demonstrator skill modulates,,,,,,,pending
aaf6f20a11cf3f1a3_s1,aaf6f20a11cf3f1a3,Müller-Pinzler et al. (2022),2022,YES,Self-efficacy belief formation,,,,,,,pending
ab0cb8b2ffd8b28e9_s1,ab0cb8b2ffd8b28e9,Saulin et al. (2024),2024,YES,Empathy learning / social closeness learning,,,,,,,pending
ab0cb8b2ffd8b28e9_s2,ab0cb8b2ffd8b28e9,Saulin et al. (2024),2024,YES,Reciprocity learning / social closeness learning,,,,,,,pending
ab1248f299f347c28_s1,ab1248f299f347c28,Ereira et al. (2020),2020,YES,Self-Other boundary learning,,,,,,,pending
ab13df8717184ccee_s1,ab13df8717184ccee,Gelpi (2025),,NO,Social testimony learning,,,,,,,pending
ab13df8717184ccee_s2,ab13df8717184ccee,Gelpi (2025),,NO,Social coordination learning · stereotype formation through behavioral confirmation,,,,,,,pending
ab2879a22cc94c9db_s1,ab2879a22cc94c9db,Whalen et al. (2018),2018,YES,Social information evaluation,,,,,,,pending
ab33ea9da5f1f13b6_s1,ab33ea9da5f1f13b6,Vanyukov et al. (2019),2019,YES,Trust learning / cooperation learning,,,,,,,pending
ab3bd6a979910aae4_s1,ab3bd6a979910aae4,Contreras-Huerta (2021),2021,YES,Prosocial motivation,,,,,,,pending
ab445c71d4d07759b_s1,ab445c71d4d07759b,Dun et al. (2024),2024,YES,Social reward learning / social anhedonia -- investigating computational and,,,,,,,pending
ab55cdf703297acb8_s1,ab55cdf703297acb8,Cui (2021),,NO,Social competitive behavior in depression,,,,,,,pending
ab55cdf703297acb8_s2,ab55cdf703297acb8,Cui (2021),,NO,Social competitive behavior in combat-related PTSD,,,,,,,pending
ab55cdf703297acb8_s3,ab55cdf703297acb8,Cui (2021),,NO,Social learning adaptation to environmental volatility in BPD,,,,,,,pending
ab722870328c9d745_s1,ab722870328c9d745,Behrens et al. (2008),2008,YES,Trust learning / social information valuation,,,,,,,pending
ab75b85a308524e49_s1,ab75b85a308524e49,Najar et al. (2019),2019,YES,Imitation learning / observational learning in reinforcement learning,,,,,,,pending
ab7787bb0688efa95_s1,ab7787bb0688efa95,Maier et al.,,YES,Moral learning / metacognitive strategy selection learning,,,,,,,pending
ab89196503af91f3e_s1,ab89196503af91f3e,Westhoff et al. (2020),2020,YES,Cooperation learning / trust learning -- developmental changes in learning to,,,,,,,pending
ab89a28f11fb22ed2_s1,ab89a28f11fb22ed2,Wu et al. (2023),2023,YES,Cooperation learning,,,,,,,pending
ab9129a02398500c2_s1,ab9129a02398500c2,Camerer & Ho (1999),1999,YES,"Learning in strategic games -- comparing reinforcement learning, belief-based",,,,,,,pending
ab9bdfac589e098a5_s1,ab9bdfac589e098a5,Story et al. (2024),2024,YES,Trait inference / moral impression formation -- splitting (dichotomous,,,,,,,pending
ab9cc4e653811594c_s1,ab9cc4e653811594c,Ma et al. (2020),2020,YES,Trust learning,,,,,,,pending
aba1374805b0f9772_s1,aba1374805b0f9772,Hunter et al. (2022),2022,YES,Social anxiety and deliberative (model-based) reinforcement learning in a,,,,,,,pending
abb19da2267bf8662_s1,abb19da2267bf8662,DeJoseph (2023),2023,YES,Reinforcement learning modulated by socioemotional context in adolescence,,,,,,,pending
abbaa5732e78c069d_s1,abbaa5732e78c069d,Bray & Doherty (2007),2007,YES,Classical conditioning with attractive faces,,,,,,,pending
abc1e750e82809237_s1,abc1e750e82809237,Allen et al. (2023),2023,YES,Cooperation learning,,,,,,,pending
abfd52709b54c4481_s1,abfd52709b54c4481,Frolichs et al. (2022),2022,YES,Trait inference / personality learning -- how humans learn about others' Big-5,,,,,,,pending
abfd52709b54c4481_s2,abfd52709b54c4481,Frolichs et al. (2022),2022,YES,Trait inference / personality learning -- how humans learn about others' Big-5,,,,,,,pending
abfd52709b54c4481_s3,abfd52709b54c4481,Frolichs et al. (2022),2022,YES,Trait inference / personality learning -- how humans learn about others' Big-5,,,,,,,pending
ac02bfcaa3344eedb_s1,ac02bfcaa3344eedb,Steixner-Kumar et al. (2022),2022,YES,Interactive decision-making under partial observability,,,,,,,pending
ac08dd66a77134815_s1,ac08dd66a77134815,Liu (2024),2024,YES,Cooperation learning · trust learning,,,,,,,pending
ac08dd66a77134815_s2,ac08dd66a77134815,Liu (2024),2024,YES,Cooperation learning,,,,,,,pending
ac0d19c94aa17f8df_s1,ac0d19c94aa17f8df,Radell et al. (2016),2016,YES,Trust learning,,,,,,,pending
ac0dfea8131964cfb_s1,ac0dfea8131964cfb,Kutlikova et al. (2023),2023,YES,Prosocial learning / audience effect on prosocial reinforcement learning,,,,,,,pending
ac0f34be605950410_s1,ac0f34be605950410,Yifrah (2024),2024,YES,Observational learning · social learning strategies,,,,,,,pending
ac0f34be605950410_s2,ac0f34be605950410,Yifrah (2024),2024,YES,Observational learning · social learning strategies,,,,,,,pending
ac114abb9dde87831_s1,ac114abb9dde87831,Leong & Zaki (2017),2017,YES,Learning from advice,,,,,,,pending
ac114abb9dde87831_s2,ac114abb9dde87831,Leong & Zaki (2017),2017,YES,Learning from advice,,,,,,,pending
ac114abb9dde87831_s3,ac114abb9dde87831,Leong & Zaki (2017),2017,YES,Social transmission of optimism bias,,,,,,,pending
ac2232886939a29e2_s1,ac2232886939a29e2,Hackel et al. (2020),2020,YES,Cooperation learning / norm learning,,,,,,,pending
ac358235abc2dab17_s1,ac358235abc2dab17,Frey & McCabe (2020),2020,YES,Social reward learning · social aversion learning,,,,,,,pending
ac3893746e8a09725_s1,ac3893746e8a09725,Patil et al. (2020),2020,YES,Moral decision-making / utilitarian moral judgment (NOT social learning),,,,,,,pending
ac41b67b58fda0894_s1,ac41b67b58fda0894,Connell et al. (2022),2022,YES,Empathic sensitivity / prosocial learning,,,,,,,pending
ac42c30ad279615ee_s1,ac42c30ad279615ee,Lindstrom et al. (2021),2021,YES,"Social reward learning on social media -- how ""likes"" function as social",,,,,,,pending
ac43c16de65d32bf5_s1,ac43c16de65d32bf5,Davis (2025),2025,YES,Social norm learning,,,,,,,pending
ac43c16de65d32bf5_s2,ac43c16de65d32bf5,Davis (2025),2025,YES,Social norm learning,,,,,,,pending
ac46ee22ccf716c5f_s1,ac46ee22ccf716c5f,Collette et al. (2017),2017,YES,Observational learning via inverse reinforcement learning,,,,,,,pending
ac490d4a134a2a23a_s1,ac490d4a134a2a23a,Arbel et al. (2024),2024,YES,Adaptive empathy,,,,,,,pending
ac53f156a8e951830_s1,ac53f156a8e951830,Zhou et al. (2024),2024,YES,Observational learning of empathy,,,,,,,pending
ac6e0c476e6fbdeea_s1,ac6e0c476e6fbdeea,Navidi et al. (2023),2023,YES,Prosocial learning,,,,,,,pending
ac6e6ff32b9164bef_s1,ac6e6ff32b9164bef,Oguchi et al. (2023),2023,YES,Relationship between social value orientation (proself vs. prosocial) and,,,,,,,pending
ac6f972a000227fcc_s1,ac6f972a000227fcc,Panizza (2020),2020,YES,Norm learning / social conformity -- testing five competing mechanisms,,,,,,,pending
ac6f972a000227fcc_s2,ac6f972a000227fcc,Panizza (2020),2020,YES,Norm learning / social conformity -- testing five competing mechanisms,,,,,,,pending
ac6f972a000227fcc_s3,ac6f972a000227fcc,Panizza (2020),2020,YES,Norm learning / social conformity -- testing five competing mechanisms,,,,,,,pending
ac739eb9ee61d9c5a_s1,ac739eb9ee61d9c5a,Cavanagh et al. (2011),2011,YES,Learning under social stress,,,,,,,pending
ac75a46c48f334d60_s1,ac75a46c48f334d60,Oguchi et al. (2023),2023,YES,Social value orientation and model-based/model-free reinforcement learning,,,,,,,pending
ac7c0ebf911382402_s1,ac7c0ebf911382402,Colombo et al. (2014),2014,YES,Norm learning,,,,,,,pending
ac7c0ebf911382402_s2,ac7c0ebf911382402,Colombo et al. (2014),2014,YES,Norm learning,,,,,,,pending
ac804d19bfcd535f0_s1,ac804d19bfcd535f0,Li et al. (2024),2024,YES,Cooperation learning / competition learning,,,,,,,pending
ac804d19bfcd535f0_s2,ac804d19bfcd535f0,Li et al. (2024),2024,YES,Cooperation learning / competition learning,,,,,,,pending
ac804d19bfcd535f0_s3,ac804d19bfcd535f0,Li et al. (2024),2024,YES,Cooperation learning / competition learning,,,,,,,pending
ac99aa56310d34352_s1,ac99aa56310d34352,Rhoads (2022),,NO,Prosocial learning,,,,,,,pending
ac9c48d17a2ad451e_s1,ac9c48d17a2ad451e,Witt et al. (2023),2023,YES,Social generalization learning,,,,,,,pending
aca22588e77b2199f_s1,aca22588e77b2199f,Nye (2014),2014,YES,Social transmission of affordances · observational learning,,,,,,,pending
aca833a84ad094374_s1,aca833a84ad094374,Panizza et al. (2021),2021,YES,Social influence learning / norm conformity learning,,,,,,,pending
acb15cc5b7a80075c_s1,acb15cc5b7a80075c,Kim et al. (2021),2021,YES,Controllability inference learning,,,,,,,pending
acb32d7c8936fcfe9_s1,acb32d7c8936fcfe9,Lamba et al. (2020),2020,YES,Trust learning under uncertainty,,,,,,,pending
acb8a9bf7cd2f5505_s1,acb8a9bf7cd2f5505,Ezaki et al. (2016),2016,YES,Cooperation learning,,,,,,,pending
acc0853d58c451c9c_s1,acc0853d58c451c9c,Schreiber (2023),2023,YES,Affect-based impulsivity in borderline personality,,,,,,,pending
ace1dd58f58cdda90_s1,ace1dd58f58cdda90,Lau et al. (2024),2024,YES,social evaluation learning; trait inference; attribution learning,,,,,,,pending
acf9caf573646169b_s1,acf9caf573646169b,Kobza & Bellebaum (2015),2015,YES,Observational learning,,,,,,,pending
ad0eac35025a13070_s1,ad0eac35025a13070,Chien et al. (2016),2016,YES,Reward-based associative learning modulated by inherent value,,,,,,,pending
ad11fe61eb364c4c2_s1,ad11fe61eb364c4c2,Westhoff et al. (2021),2021,YES,Prosocial learning,,,,,,,pending
ad1a6e903ea4d2f38_s1,ad1a6e903ea4d2f38,Apps et al. (2015),2015,YES,Observational/vicarious learning during teaching,,,,,,,pending
ad1a881a7ce1349fe_s1,ad1a881a7ce1349fe,Aquino et al. (2020),2020,YES,Observational learning,,,,,,,pending
ad3752120fcff1c97_s1,ad3752120fcff1c97,Su et al. (2025),2025,YES,Fairness norm learning; social hierarchy influence on fairness perception,,,,,,,pending
ad3752120fcff1c97_s2,ad3752120fcff1c97,Su et al. (2025),2025,YES,Fairness norm learning,,,,,,,pending
ad3e6a3d753e0ec06_s1,ad3e6a3d753e0ec06,Lindstrom & Olsson (2015),2015,YES,Social avoidance learning,,,,,,,pending
ad3f3eebeed3451ab_s1,ad3f3eebeed3451ab,Yi et al. (2021),2021,YES,Avoidance learning of facial expression selection during dyadic interaction,,,,,,,pending
ad52c397133e84328_s1,ad52c397133e84328,Wu et al. (2024),2024,YES,Observational learning,,,,,,,pending
ad52c397133e84328_s2,ad52c397133e84328,Wu et al. (2024),2024,YES,Observational learning,,,,,,,pending
