study_id,paper_id,citation_short,year,on_website,eligibility_flagged,eligibility_flag_reason,human_decision,human_rationale,reviewer,date_checked,status
a3c64dbb044e603a3_s1,a3c64dbb044e603a3,Zhang et al. (2022),2022,YES,NO,,,,,,pending
a3cd58a7f769db5a7_s1,a3cd58a7f769db5a7,Ohnishi & Manchanda (2016),2016,YES,YES,"""Borderline inclusion — preliminary working paper with incomplete results; social learning is consumer browsing of community websites (marketing definition), not social learning in computational psychiatry sense; dynamic Bayesian model proposed but not estimated; borderline learning-vs-information-aggregation.",,,,,pending
a3e50173a79c7cd03_s1,a3e50173a79c7cd03,Benistant et al. (2024),2024,YES,NO,,,,,,pending
a3eee84fe04f1d7f6_s1,a3eee84fe04f1d7f6,Muller-Pinzler et al. (2019),2019,YES,NO,,,,,,pending
a3ef0606f3dae7a0f_s1,a3ef0606f3dae7a0f,Dubey (2023),2023,YES,YES,"Does not meet inclusion criteria. This dissertation contains six studies across six chapters. None of the chapters combine computational modeling with learning in a social context over time: Chapters 2-4 use computational models (rational analysis of curiosity, curiosity intervention, metacognitive prediction errors for Aha! moments) but learning is entirely non-social (individual curiosity-driven information seeking). Chapter 5 uses RL agent simulations to study habituation and aspiration-based comparisons, but the agent operates in a non-social gridworld/bandit environment with no social agents or social context -- the authors explicitly note as a limitation that they ""did not consider how aspirations can be influenced by social comparisons"" (p. 147). Chapter 6 is a field experiment on prosocial messaging to reduce water consumption among the wealthy, which involves a social manipulation but no computational modeling and no learning over time. **No chapter qualifies individually.**

---

## COMPUTATIONAL LEVEL",,,,,pending
a3f938d0a85d88449_s1,a3f938d0a85d88449,Wunderlich et al. (2011),2011,YES,YES,"FLAG — This paper does NOT involve social learning. Learning occurs in a non-social context (individual learning about abstract stimulus-reward contingencies). No social agent, no social information, no social context. The task is a probabilistic hierarchical reversal learning task (variant of Wisconsin Card Sorting Task) with no social component whatsoever. Flagged as: ""No social learning context — individual learning about stimulus dimensions and reward contingencies.",,,,,pending
a3fe85a37992e6e91_s1,a3fe85a37992e6e91,Jones et al. (2014),2014,YES,NO,,,,,,pending
a3fea0686f1b28640_s1,a3fea0686f1b28640,Zohary et al. (2022),2022,YES,YES,"FLAG: This paper does NOT use a computational model in the standard sense for the systematic review. It uses a computer vision deep learning model (ResNet-50) to simulate developmental perceptual learning, not a cognitive/computational model fitted to human behavioral data. There is no formal model-fitting to trial-by-trial behavior, no prediction error learning, no Bayesian updating. The ""learning"" studied is perceptual/developmental visual learning of gaze cues, not social learning in the sense of updating beliefs or values from social information over trials. The computational model is a vision model, not a social learning model. Additionally, there is no learning over time in the behavioral task itself — the cueing task measures an already-established (or absent) automatic gaze-following response, not learning within the experiment. Recommend flagging as: ""computational model is a vision/perception model, not a cognitive model of social learning; no trial-by-trial learning in the behavioral task.",,,,,pending
a41e88db4ec71fbb1_s1,a41e88db4ec71fbb1,Ide et al. (2018),2018,YES,NO,,,,,,pending
a4386e36047c2a720_s1,a4386e36047c2a720,Zaki et al. (2016),2016,YES,NO,,,,,,pending
a4436fb2259d8f3d0_s1,a4436fb2259d8f3d0,Gao et al. (2020),2020,YES,YES,"The study uses a standard Rescorla-Wagner model fitted to behavioral data during a probabilistic learning task, which satisfies computational modeling and learning-over-time criteria. However, the core learning is about non-social stimulus–reward associations — the social dimension is limited to the beneficiary of the reward (self/stranger/no one), which modulates motivation but does not make the learning itself social. The mortality salience manipulation is a contextual modulator, not a social learning mechanism. FLAG: borderline social context — the learning target is non-social (stimulus–reward mappings); the social element is only in who benefits from the reward. May not meet ""learning occurs in a social context"" criterion strictly.",,,,,pending
a44cda9eb501547e6_s1,a44cda9eb501547e6,Allidina (2018),2018,YES,YES,"This is a Master's thesis with 9 behavioural studies. Computational modeling is applied only to Study 1 data. The modeling results are explicitly flagged by the author as inconclusive due to overfitting (model recovery failed — models with more avoidance parameters were always preferred regardless of generating model). The thesis qualifies as it uses computational modeling with human behavioural data on social learning over time, but the modeling component is preliminary and acknowledged as unreliable. Flag: thesis; modeling results unreliable per author's own assessment.",,,,,pending
a461a7be9cf637fef_s1,a461a7be9cf637fef,Saulin (2022),,NO,NO,,,,,,pending
a461a7be9cf637fef_s2,a461a7be9cf637fef,Saulin (2022),,NO,YES,"Borderline -- computational modeling of decision process, not learning over time. DDM characterizes how decisions are made, not how associations are learned. The z-parameter changes across blocks, but this reflects changes in decision bias after different motive induction strengths, not trial-by-trial learning.",,,,,pending
a461a7be9cf637fef_s3,a461a7be9cf637fef,Saulin (2022),,NO,YES,"Borderline -- DDM of multi-motive prosocial decision process, not learning over time. **Also published as standalone paper (doi: 10.1016/j.neuroimage.2021.118827) -- flag as duplicate_suspected if that paper appears separately in corpus.**",,,,,pending
a461a7be9cf637fef_s4,a461a7be9cf637fef,Saulin (2022),,NO,YES,"Borderline -- DDM of empathy + financial incentive decision process, not learning over time. **Also published as standalone paper (doi: 10.1080/17470919.2022.2115550) -- flag as duplicate_suspected if that paper appears separately in corpus.**",,,,,pending
a46912a9be5d7171a_s1,a46912a9be5d7171a,Karvelis et al. (2024),2024,YES,YES,"The primary focus of this paper is on psychometric properties (test-retest reliability) of the computational assay rather than on social learning mechanisms per se. The paper does use computational modeling with human behavioral data in a social learning context (learning about an adviser's intentions over time), so it meets inclusion criteria. However, the study is essentially a reliability/methods paper, not a substantive investigation of social learning. FLAG: primary focus is psychometric evaluation rather than social learning mechanisms.",,,,,pending
a48b47874f742ff5e_s1,a48b47874f742ff5e,Stanley (2016),2016,YES,NO,,,,,,pending
a48cb3593974c3b46_s1,a48cb3593974c3b46,Duderstadt et al. (2022),2022,YES,YES,"The ""social agent"" is partly an automated system (algorithms in the non-human condition) — flagged per instructions. Additionally, this paper uses a diffusion model as an analysis tool for disentangling cognitive mechanisms (perceptual vs. judgmental bias) rather than as a learning model per se. The DDM does not model the learning process over time; it characterizes decision-making within each phase. Borderline: learning occurs across phases (baseline to learning to extinction), but the computational model does not capture trial-by-trial updating. Flag: borderline learning-vs-decision-making case; DDM used as measurement model, not a learning model. Pure DDM (no learning component) — borderline eligibility (decision-making, not learning over time).",,,,,pending
a49219b09016ebf46_s1,a49219b09016ebf46,Heijne et al. (2018),2018,YES,NO,,,,,,pending
a49c01d79541cb445_s1,a49c01d79541cb445,Deffner et al. (2020),2020,YES,NO,,,,,,pending
a4aea460e9fdfae26_s1,a4aea460e9fdfae26,Ho et al. (2017),2017,YES,YES,"Borderline eligibility. The paper models learning from demonstration using computational models (Bayesian inverse planning, MDPs) and uses human behavioral data. However, the learning is arguably one-shot inference (observe one demonstration, then judge reward function) rather than learning over time with trial-by-trial updating. The observer sees a single demonstration trajectory and makes a judgment -- there is no multi-trial learning process. Flag: ""Borderline: learning may be one-shot inference from a single demonstration rather than learning over time. The demonstrator model involves sequential planning, but the observer's task is a single inference episode.",,,,,pending
a4af8527b1cc684fd_s1,a4af8527b1cc684fd,Hertz et al. (2021),2021,YES,NO,,,,,,pending
a4b676be68b05d63f_s1,a4b676be68b05d63f,Ereira et al. (2020),2020,YES,NO,,,,,,pending
a4c798581c32b3068_s1,a4c798581c32b3068,Shin et al. (2019),2019,YES,YES,"The ""social agent"" is an emotional face stimulus (not an interactive social agent). The learning target is non-social (cue-outcome association in the world). Social information acts as a distractor/noise source rather than being the object of learning. Flag: borderline social learning -- social information modulates learning but the learned content is non-social. The emotional faces are automated stimuli, not social agents.",,,,,pending
a4d0cf163e6e71f5b_s1,a4d0cf163e6e71f5b,Thompson & Westwater (2017),2017,YES,NO,,,,,,pending
a4e38a51c7a61c0bf_s1,a4e38a51c7a61c0bf,Suzuki et al. (2016),2016,YES,NO,,,,,,pending
a5025a357ec0cf23b_s1,a5025a357ec0cf23b,Story et al. (2024),2024,YES,NO,,,,,,pending
a51c8ed5a90786abc_s1,a51c8ed5a90786abc,Stoddard et al. (2023),2023,YES,YES,"MEDIUM — borderline social learning; the task uses social stimuli (face emotions) but the learning process itself is category learning from computer-generated feedback, not learning from or about social agents",,,,,pending
a522a4a6c2827b1e8_s1,a522a4a6c2827b1e8,Falben et al. (2023),2023,YES,NO,,,,,,pending
a525b90f489739776_s1,a525b90f489739776,Barnby (2021),,NO,YES,"thesis -- Chapter 4 is the qualifying computational modeling study. Chapters 2 (psychometric), 3 (behavioral, no computational model of learning), and 5 (pharmacological, no computational model of learning) do not independently meet computational modeling inclusion criteria. Note: Chapter 4 was published as Barnby et al. (2020) in PLOS Computational Biology -- flag as potential duplicate if that published paper also appears in the corpus.",,,,,pending
a53ac421a426041d2_s1,a53ac421a426041d2,Hofmans & Bos (2025),2025,YES,NO,,,,,,pending
a5410643e38a591ad_s1,a5410643e38a591ad,Buritica (2016),2016,YES,NO,,,,,,pending
a549906e29a2f9bf5_s1,a549906e29a2f9bf5,Allidina et al. (2025),2025,YES,NO,,,,,,pending
a549906e29a2f9bf5_s2,a549906e29a2f9bf5,Allidina et al. (2025),2025,YES,NO,,,,,,pending
a549906e29a2f9bf5_s3,a549906e29a2f9bf5,Allidina et al. (2025),2025,YES,NO,,,,,,pending
a5827b540b620ffdf_s1,a5827b540b620ffdf,Meffert et al. (2015),2015,YES,NO,,,,,,pending
a5894b4a391e9517f_s1,a5894b4a391e9517f,Guilbeault et al. (2025),2025,YES,YES,"Potential concern — the paper does not use computational modeling in the typical reinforcement learning or Bayesian parameter-fitting sense. Instead, it compares parameter-free agent-based models (ABMs) via prediction accuracy. There is no individual-level parameter estimation. The ""models"" are deterministic decision rules applied to simulated memory, not fitted latent-variable models. This may be borderline for inclusion depending on how strictly ""computational modeling"" is defined. Additionally, the Study 1 behavioral data was collected by other researchers (Centola & Baronchelli, 2015; Centola et al., 2018) — the present paper reanalyzes it. Flag: borderline computational modeling (ABM comparison, no parameter fitting).",,,,,pending
a595d96a627a0d6c7_s1,a595d96a627a0d6c7,Guigon (2022),2022,YES,YES,"Dissertation -- only Chapter II (Study 2) qualifies. Chapter I does not involve computational models of social learning over time (individual metacognition/information-seeking only). Chapter III does not involve social learning (testosterone effects on reward anticipation). Note: borderline on whether learning truly occurs ""over time"" as the Bayesian learning component (theta_learning) contributed minimally to decisions per the authors; however, the model does include dynamic belief updating across trials.",,,,,pending
a5a61bfd3d0b2ae26_s1,a5a61bfd3d0b2ae26,Low et al. (2022),2022,YES,NO,,,,,,pending
a5b2c0aa182d22e77_s1,a5b2c0aa182d22e77,Atlas et al. (2016),2016,YES,YES,"The ""social"" element is limited to verbal instructions from an experimenter about contingencies — the learning itself is about non-social cue-shock associations. The social component (instruction delivery) is minimal and one-directional. This is borderline for social learning; the paper primarily studies instructed vs. experiential learning of aversive contingencies. Flag: borderline social context — instructions are socially conveyed but the learning target is non-social (cue-shock contingencies).",,,,,pending
a5c364d5139293d80_s1,a5c364d5139293d80,Sevgi et al. (2020),2020,YES,NO,,,,,,pending
a5dcc5dc6991a975a_s1,a5dcc5dc6991a975a,Kwak & Huettel (2016),2016,YES,NO,,,,,,pending
a5dd8a3151396baf3_s1,a5dd8a3151396baf3,Charpentier et al. (2019),2019,YES,NO,,,,,,pending
a5eef886e2c800a4d_s1,a5eef886e2c800a4d,Lockwood et al. (2016),2016,YES,NO,,,,,,pending
a5f0d9e7021894afb_s1,a5f0d9e7021894afb,DeJoseph et al. (2024),2024,YES,YES,"Stimulus learning is not inherently social — the task involves learning stimulus-outcome associations where socioemotional images serve as contextual modulators, not social agents. The ""social"" element is the stimulus content (IAPS images of social scenes), not social interaction or social learning per se. FLAG: borderline social context — socioemotional stimulus modulation of non-social reinforcement learning.",,,,,pending
a5fa9856df9dfb976_s1,a5fa9856df9dfb976,Huber et al. (2015),2015,YES,NO,,,,,,pending
a6282feec6a507024_s1,a6282feec6a507024,Campbell-Meiklejohn et al. (2010),2010,YES,YES,"The paper does not fit a formal computational model of learning (no RL, Bayesian, or similar trial-by-trial model). The ""model"" is a linear regression coefficient (B_inf) used as a between-subject covariate. This is borderline — flag as: ""No formal computational learning model; B_inf is a descriptive behavioral measure used as fMRI regressor, not a trial-by-trial computational model of learning.",,,,,pending
a631236efa231f350_s1,a631236efa231f350,Hawkins et al. (2023),2023,YES,YES,"This paper is primarily a computational modeling/theory paper with behavioral experiments. The CHAI model is a computational model applied to human behavioral data in a social learning context (convention formation over time). Learning occurs over time (repeated interactions across multiple partners). All inclusion criteria are met. However, the model is evaluated via qualitative simulation-to-data comparison rather than formal model fitting to trial-level data — this is a notable limitation for the systematic review's algorithmic-level analysis.",,,,,pending
a635c02bbe34f52fb_s1,a635c02bbe34f52fb,Rosenblau et al. (2018),2018,YES,NO,,,,,,pending
a6404fb3831ef9006_s1,a6404fb3831ef9006,Buritica et al. (2024),2024,YES,NO,,,,,,pending
a64cfcd55a5c3f4aa_s1,a64cfcd55a5c3f4aa,Zhu et al. (2019),2019,YES,NO,,,,,,pending
a6546b339f2c30246_s1,a6546b339f2c30246,Stefanics et al. (2019),2019,YES,YES,"LOW confidence that this qualifies as social learning — strong concern this is perceptual inference, not social learning",,,,,pending
a65eda4ccd581548e_s1,a65eda4ccd581548e,Jin et al. (2025),2025,YES,NO,,,,,,pending
a661fc88f8387f952_s1,a661fc88f8387f952,Haaker & Olsson (2018),2018,YES,NO,,,,,,pending
a66f741ba53ddd6f0_s1,a66f741ba53ddd6f0,Hertz et al. (2017),2017,YES,NO,,,,,,pending
a6775e847c8afacd3_s1,a6775e847c8afacd3,Benistant et al.,,YES,YES,"FLAG — This paper does not collect new data; it is a secondary computational modeling analysis of two existing behavioural datasets (Jiang et al., 2023; Choi et al., 2023). It uses computational modeling and human behavioral data, learning occurs in a social context over time. However, note: (a) no new empirical data, (b) the paper reads more like a computational/theoretical comparison than a standard empirical study. Still meets inclusion criteria. Also flag: the ""social agents"" are real human participants interacting in real time, so this is genuinely social.",,,,,pending
a684568d126a9a533_s1,a684568d126a9a533,Hardy et al. (2022),2022,YES,YES,"Borderline -- the paper uses computational modeling (Bayesian social sampling) and human behavioral data in a social context with learning over time (multigenerational accumulation). However, learning is primarily about non-social content (gemstone categories) rather than social content, and the ""computational model"" is parameter-free and evaluated via simulation-and-compare rather than being fitted to individual-level data. The social context is the transmission structure rather than the learning target. Flagged as: social context is the transmission mechanism, not the learning content; model has no free parameters.",,,,,pending
a684568d126a9a533_s2,a684568d126a9a533,Hardy et al. (2022),2022,YES,YES,"Same as Study 1 -- borderline. Social context is the transmission mechanism, not the learning target. Learning content is non-social (spaceship part quality). Model has no free parameters.",,,,,pending
a68ddc721d9a6e4ec_s1,a68ddc721d9a6e4ec,Yifrah et al. (2021),2021,YES,NO,,,,,,pending
a69295c33195177a3_s1,a69295c33195177a3,Hough & Juvina (2022),2022,YES,NO,,,,,,pending
a69f025cbcb4e3d3f_s1,a69f025cbcb4e3d3f,Deng et al. (2023),2023,YES,NO,,,,,,pending
a6a7eaf0b8cc43d62_s1,a6a7eaf0b8cc43d62,Frey et al. (2021),,YES,YES,FALSE,,,,,pending
a6a9f8812b97f5a58_s1,a6a9f8812b97f5a58,Lindstrom et al. (2015),2015,YES,YES,"FLAG -- Borderline social learning. The task is fundamentally a non-social instrumental avoidance learning task. The ""social"" element is limited to the stimulus category used in 2 of 4 experiments (threatening faces, out-group faces). Learning does not occur in a social context (no social interaction, no social information source, no social inference). The Pavlovian bias from social stimuli is pre-existing and not learned within the task. This paper is primarily about Pavlovian-instrumental interaction with fear-relevant stimuli, not social learning per se.",,,,,pending
a6b5c1c0696212ab4_s1,a6b5c1c0696212ab4,Panizza et al. (2021),2021,YES,NO,,,,,,pending
a6b9bc33a9a00f6e5_s1,a6b9bc33a9a00f6e5,Unruh-Pinheiro et al. (2020),2020,YES,YES,"Ineligible — no computational model of learning; no social context; decision-making/metacognition study with descriptive statistical models only. Does not meet criteria for: (1) computational modeling, (2) social context, (3) learning over time.",,,,,pending
a6dd1e063ef951bf7_s1,a6dd1e063ef951bf7,Cooper et al. (2014),2014,YES,NO,,,,,,pending
a6de40ea666d052f4_s1,a6de40ea666d052f4,Schulze et al. (2015),2015,YES,YES,"Borderline -- learning occurs over time (500 trials) and involves a social agent (computerized opponent), but the ""social"" dimension is competition against a computer, not genuine social learning. The computational modeling is present and applied to behavioral data. The core learning is about optimal choice strategy (matching vs. maximizing) rather than learning about social agents per se. Flag: borderline social learning -- competition against computerized opponent; learning is primarily about choice strategy optimization rather than social information.",,,,,pending
a6de40ea666d052f4_s2,a6de40ea666d052f4,Schulze et al. (2015),2015,YES,YES,"Borderline social learning. The opponent is computerized (not a real social agent). Learning is primarily about optimal choice strategy in a competitive environment, not about social information per se. The social dimension is the competitive structure (opponent whose behavior depends on/is independent of participant behavior). MEDIUM confidence that this qualifies as social learning.",,,,,pending
a6e0cdae5974d3b41_s1,a6e0cdae5974d3b41,Barnby et al. (2025),2025,YES,NO,,,,,,pending
a6e4643b5be9b53d0_s1,a6e4643b5be9b53d0,Chang et al. (2010),2010,YES,NO,,,,,,pending
a6e7df7b5f83f3b8c_s1,a6e7df7b5f83f3b8c,Toyokawa et al. (2018),2018,YES,NO,,,,,,pending
a6e960f86a4bc326f_s1,a6e960f86a4bc326f,Blanchard et al. (2020),2020,YES,YES,"The social exclusion manipulation (Cyberball) precedes but is not part of the learning task itself. The ERLT learning loop is non-social (computerized feedback on valence choices). The paper examines whether social exclusion moderates non-social reinforcement learning, rather than modeling learning in a social context per se. FLAG: borderline -- social context is a between-subjects manipulation, not integrated into the learning process.",,,,,pending
a6ef8f19d4f08cf77_s1,a6ef8f19d4f08cf77,Hillebrandt (2014),2014,YES,YES,"Does not meet inclusion criteria. None of the four studies uses computational modeling of learning. The dissertation uses DCM (a neuroimaging connectivity method) and standard GLM, but no computational models of learning are fitted to behavioral data. There is no learning over time in any study -- Chapter 2 is a 3-round trust game without model-fitting, Chapters 3-4 use a perspective-taking task with no trial-by-trial learning, and Chapter 5 uses passive viewing of animated triangles. The ""Bayesian hierarchical predictive coding"" in the title refers to a theoretical interpretive framework (Friston's free energy principle), not to a computational model fitted to data.

Specific violations:
- **No computational modeling** (fails criterion 1)
- **No learning over time** (fails criterion 4) -- all tasks are either one-shot or block designs without trial-by-trial updating",,,,,pending
a6f1e0378e031c979_s1,a6f1e0378e031c979,Vahedi et al. (2025),2025,YES,NO,,,,,,pending
a6f9cb6e230fc8bce_s1,a6f9cb6e230fc8bce,Heffner et al. (2025),2025,YES,YES,"FLAG — The paper does not fit a formal computational model to data. It computes empirical prediction errors directly from participant self-reports and uses them as regressors in GLMMs. There is no fitted RL or Bayesian model. The paper clearly involves social learning over time, and the PE framework is conceptually computational, but no computational model is formally specified, fitted, or compared. This is borderline for ""uses computational modeling"" inclusion criterion.",,,,,pending
a70bb29710dadbc8a_s1,a70bb29710dadbc8a,Tehrani-Safa et al. (2023),2023,YES,NO,,,,,,pending
a713034c4a22ef323_s1,a713034c4a22ef323,Fareri et al. (2015),2015,YES,NO,,,,,,pending
a71954caf3dc912b6_s1,a71954caf3dc912b6,Xiang et al. (2012),2012,YES,NO,,,,,,pending
a71bd3ab98fb45944_s1,a71bd3ab98fb45944,Son (2023),,NO,YES,"HIGH -- duplicate_suspected, this is clearly the preprint of the PNAS paper",,,,,pending
a72733d5dd128ea96_s1,a72733d5dd128ea96,Chen et al. (2024),2024,YES,YES,"MEDIUM confidence — borderline on temporal learning criterion (only 2 rounds); borderline on whether this constitutes ""learning"" vs. ""communication/inference",,,,,pending
a72ee534eb86c7c7b_s1,a72ee534eb86c7c7b,Bai et al. (2022),2022,YES,YES,"FLAG -- The paper uses a computational model (Thompson sampling) and human behavioral data, and learning occurs over time (40 sequential rounds). However, the model is not fitted to individual participant data; it is used as a normative/simulation-level account whose qualitative predictions are compared to aggregate human behavior. This is a simulate-and-compare approach rather than traditional computational modeling with parameter estimation. The ""social"" context involves fictional, abstract groups rather than real social interactions. The paper is borderline on ""uses computational modeling"" in the sense of fitting models to human data -- it uses computational modeling in the sense of generating predictions from a formal model. Include but flag as: **model not fitted to individual data; simulate-and-compare only**.",,,,,pending
a738ffd23b825d7eb_s1,a738ffd23b825d7eb,Hill et al. (2017),2017,YES,NO,,,,,,pending
a753ce0a16a71460a_s1,a753ce0a16a71460a,Naito et al. (2022),2022,YES,NO,,,,,,pending
a755398898eeb5ca3_s1,a755398898eeb5ca3,Jones et al. (2011),2011,YES,NO,,,,,,pending
a768d7510f53e8a45_s1,a768d7510f53e8a45,Kwak et al. (2014),2014,YES,NO,,,,,,pending
a76db468de82a4657_s1,a76db468de82a4657,Allidina (2023),2023,YES,YES,"Dissertation -- Chapter 3 (focal study) qualifies; Chapter 2 is a purely theoretical paper (no data, no computational model); Chapter 4 uses behavioral/eye-tracking studies with standard statistical analysis (logistic regression, GAMs, Bayesian multilevel models) but no computational model of learning. Only Chapter 3 should be extracted. Note: Chapter 2 was published separately as Allidina & Cunningham (2023) in PSPR -- check for potential duplicate if that paper is also in the corpus.",,,,,pending
a77cf800f1d2cd07a_s1,a77cf800f1d2cd07a,Schultner et al. (2024),2024,YES,NO,,,,,,pending
a7a0c89d37037a4ba_s1,a7a0c89d37037a4ba,Khalvati et al. (2016),2016,YES,YES,"Borderline -- the paper frames this as social decision making with Bayesian belief updating over rounds, but the ""learning"" is belief updating about group cooperativeness across rounds of a repeated game. This is closer to learning over time (belief updating trial-by-trial) than one-shot inference, so it meets inclusion criteria. However, the POMDP is a planning/decision model rather than a pure learning model -- the learning component is the Bayesian belief update embedded within the POMDP framework. Flag: ""Borderline learning-vs-decision-making; belief updating over trials qualifies but primary framing is decision-making/planning.",,,,,pending
a7a46fe1cb9c1429d_s1,a7a46fe1cb9c1429d,Reiter et al. (2021),2021,YES,NO,,,,,,pending
a7bae18ba1c06d93c_s1,a7bae18ba1c06d93c,Diaconescu et al. (2020),2020,YES,NO,,,,,,pending
a7cc156a3678a43c8_s1,a7cc156a3678a43c8,Zhou et al. (2025),2025,YES,NO,,,,,,pending
a7cc156a3678a43c8_s2,a7cc156a3678a43c8,Zhou et al. (2025),2025,YES,NO,,,,,,pending
a8064150791341f6a_s1,a8064150791341f6a,Wittmann et al. (2021),2021,YES,YES,"Borderline: RL model is ancillary (generates regressors only); SOM is described as decision-related, not learning-related. The paper does involve trial-by-trial performance learning via RL, but the primary phenomenon under investigation (self-other mergence) is a context-dependent representational bias, not learning per se.",,,,,pending
a80c37dd74c4998a4_s1,a80c37dd74c4998a4,Aquino (2022),,NO,YES,"Dissertation; only Study 3 (Chapter IV) qualifies for social learning inclusion criteria. Flag as potential duplicate of Aquino et al. (2020) JNeurosci. The ""social agent"" is a pre-recorded video -- the authors themselves note this does not control for social vs. non-social observation.",,,,,pending
a80de13010a4dd07a_s1,a80de13010a4dd07a,Henco et al. (2020),2020,YES,NO,,,,,,pending
a810046b519d4623e_s1,a810046b519d4623e,Schulz et al. (2025),2025,YES,NO,,,,,,pending
a81bf6f05519ac865_s1,a81bf6f05519ac865,Zaragoza-Jimenez et al. (2023),2023,YES,YES,"Borderline -- the paper uses computational modeling and human behavioral data with learning over time, but the ""social"" element is debatable. Participants learn to recognize computer-generated face identities, which is relevant to social perception but the learning process itself does not involve social interaction, social feedback, or learning about social attributes. The faces are not real people and there is no social agent. The ""social"" agent is effectively absent -- this is perceptual learning of face stimuli. FLAG: borderline social context; no social interaction or social feedback; perceptual face identity learning rather than social learning per se.",,,,,pending
a8209482cdec5baea_s1,a8209482cdec5baea,Xu et al. (2023),2023,YES,NO,,,,,,pending
a8269fcbdd859d7b8_s1,a8269fcbdd859d7b8,Lindström & Tobler (2018),2018,YES,NO,,,,,,pending
a8286f527041f9a9a_s1,a8286f527041f9a9a,Beltzer et al. (2023),2023,YES,NO,,,,,,pending
a8298436254387388_s1,a8298436254387388,Christopoulos & King-Casas (2015),2015,YES,NO,,,,,,pending
a82c908cc2a2d6222_s1,a82c908cc2a2d6222,Lindström et al. (2019),2019,YES,YES,Learning does not occur in a social context. Experiment 1 is a non-social Pavlovian baseline. Flag: non-social learning condition serving as comparison for social experiments.,,,,,pending
a82c908cc2a2d6222_s2,a82c908cc2a2d6222,Lindström et al. (2019),2019,YES,NO,,,,,,pending
a82c908cc2a2d6222_s3,a82c908cc2a2d6222,Lindström et al. (2019),2019,YES,NO,,,,,,pending
a84b2ae0f3b82710b_s1,a84b2ae0f3b82710b,Suzuki et al. (2015),2015,YES,NO,,,,,,pending
a867322e7b21f303d_s1,a867322e7b21f303d,Cisler et al. (2015),2015,YES,NO,,,,,,pending
a87df681de092cd6d_s1,a87df681de092cd6d,Pinho et al. (2024),2024,YES,NO,,,,,,pending
a87df681de092cd6d_s2,a87df681de092cd6d,Pinho et al. (2024),2024,YES,YES,"Borderline — Study 2 does not involve computational model fitting to behavioral data. The mood-RL model was used for simulations/predictions only, and empirical analyses were model-free. Flagged as borderline for inclusion criterion ""uses computational modeling.",,,,,pending
a87df681de092cd6d_s3,a87df681de092cd6d,Pinho et al. (2024),2024,YES,NO,,,,,,pending
a894d6f4ea6856b0c_s1,a894d6f4ea6856b0c,Gershman et al. (2017),2017,YES,YES,"Borderline — the model is Bayesian structure learning (inference), not iterative trial-by-trial learning with prediction errors. Learning occurs over the course of observing choices (accumulating evidence for group assignments via Bayesian updating), so there is temporal updating. However, this is closer to one-shot Bayesian inference over accumulated data than incremental trial-by-trial learning. FLAG: borderline learning-vs-inference case. The model performs Bayesian inference over the full set of observed choices rather than sequential updating, though the developmental simulations show how the prior shifts with accumulating experience.",,,,,pending
a89810dc3e613b00c_s1,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,NO,,,,,,pending
a89810dc3e613b00c_s2,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,NO,,,,,,pending
a89810dc3e613b00c_s3,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,NO,,,,,,pending
a89810dc3e613b00c_s4,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,NO,,,,,,pending
a89810dc3e613b00c_s5,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,YES,"FLAG -- In the computer condition, the ""social agent"" is an automated system. The learning paradigm still involves social targets (group members), so this remains social learning, but the demonstrator source is non-social in one condition.",,,,,pending
a89810dc3e613b00c_s6,a89810dc3e613b00c,Schultner et al. (2024),2024,YES,NO,,,,,,pending
a8996ce4e0b44ae3c_s1,a8996ce4e0b44ae3c,Siegel et al. (2020),2020,YES,NO,,,,,,pending
a89991d8ca0b50e35_s1,a89991d8ca0b50e35,Jiang et al. (2025),2025,YES,YES,"FLAG — social agent is partially an automated system (LLM-powered bots as candidate partners). The learning modeled is human selectors learning about the trustworthiness of partner types, which qualifies as social learning. However, the ""social"" partners include AI agents, not solely human agents.",,,,,pending
a89f6aeb837399ffe_s1,a89f6aeb837399ffe,Westhoff et al. (2021),2021,YES,NO,,,,,,pending
a89fcd76a5ec248ed_s1,a89fcd76a5ec248ed,Brazil (2013),2013,YES,NO,,,,,,pending
a8a76a4289879e5d9_s1,a8a76a4289879e5d9,Spiering et al. (2025),2025,YES,NO,,,,,,pending
a8a8de79a9824ebef_s1,a8a8de79a9824ebef,Chackochan & Sanguineti (2019),2019,YES,NO,,,,,,pending
a8b11e1958a9bf87b_s1,a8b11e1958a9bf87b,Yoshida et al. (2010),2010,YES,NO,,,,,,pending
a8bcb614a58101314_s1,a8bcb614a58101314,Ide et al. (2018),2018,YES,NO,,,,,,pending
a8cdfbc3ac27cf4e3_s1,a8cdfbc3ac27cf4e3,Rosenblau et al. (2021),2021,YES,NO,,,,,,pending
